"X.U.FEFF.date","camera","video","timestamp","species","count","site","latin","Order","Family","Primary_functional_group","Secondary_functional_group","Max_length","common_length","MaxLengthTL","Troph","ComDepthMin","ComDepthMax","TempPrefMean","FeedingPath","diet_breadth","TL_group","abund"
"5.5","1","GH010055.MP4","00:10-00:20","ÈÕ±¾´ÌÎ²Óã",2,"Meiji","Acanthurus japonicus","Perciformes","Acanthuridae","Herbivore","grazer/detritivores",21,NA,21,2.279999971,5,15,28.7,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","00:10-00:20","Á­Óã",1,"Meiji","Zanclus cornutus","Perciformes","Zanclidae","Omnivore","omnivore",23,21,23,2.49000001,5,182,27.7,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:10-00:20","Ë«°ß¹âÈúÓã",1,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:20-00:30","¶ÛÍ·½õÓã",1,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:20-00:30","Ë«°ß¹âÈúÓã",2,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",8.38328373223792e-05
"5.5","1","GH010055.MP4","00:20-00:30","èÎ³Ý´ÌÎ²Óã",1,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:20-00:30","ÖéºûµûÓã",1,"Meiji","Chaetodon kleirnii","Perciformes","Chaetodontidae","Omnivore","omnivore",15,NA,15,2.9,4,61,27.8,NA,28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:30-00:40","Á­Óã",1,"Meiji","Zanclus cornutus","Perciformes","Zanclidae","Omnivore","omnivore",23,21,23,2.49000001,5,182,27.7,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:30-00:40","ÈÕ±¾´ÌÎ²Óã",2,"Meiji","Acanthurus japonicus","Perciformes","Acanthuridae","Herbivore","grazer/detritivores",21,NA,21,2.279999971,5,15,28.7,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","00:30-00:40","Ò¸°ßÆÕÌáÓã",1,"Meiji","Bodianus axillaris","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",20,NA,24.39999962,3.420000076,2,40,27.5,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:30-00:40","Â¡±³µÑöô",1,"Meiji","Lutjanus gibbus","Perciformes","Lutjanidae","Carnivore","generalist carnivore (fish and invertebrates)",56.8,45,50,4.119999886,17,73,28,"pelagic",28,"50-100",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:30-00:40","ÁÑ´½Óã",3,"Meiji","Labroides dimidiatus","Perciformes","Labridae","Carnivore","ectoparasite feeder",14,NA,14,3.460000038,1,30,27.8,"pelagic",28,"10-20",0.000125749255983569
"5.5","1","GH010055.MP4","00:30-00:40","Ë«°ß¹âÈúÓã",11,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000461080605273085
"5.5","1","GH010055.MP4","00:30-00:40","¶ÛÍ·½õÓã",2,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",8.38328373223792e-05
"5.5","1","GH010055.MP4","00:40-00:50","Ë«°ß¹âÈúÓã",5,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000209582093305948
"5.5","1","GH010055.MP4","00:40-00:50","ÁÑ´½Óã",5,"Meiji","Labroides dimidiatus","Perciformes","Labridae","Carnivore","ectoparasite feeder",14,NA,14,3.460000038,1,30,27.8,"pelagic",28,"10-20",0.000209582093305948
"5.5","1","GH010055.MP4","00:40-00:50","×ÝÎÆ½õÓã",2,"Meiji","Thalassoma quinquevittatus","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",17,NA,17,3.6,1,5,28.3,NA,28,"10-20",8.38328373223792e-05
"5.5","1","GH010055.MP4","00:40-00:50","¶ÛÍ·½õÓã",1,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:40-00:50","èÎ³Ý´ÌÎ²Óã",6,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",0.000251498511967138
"5.5","1","GH010055.MP4","00:40-00:50","ÈÕ±¾´ÌÎ²Óã",1,"Meiji","Acanthurus japonicus","Perciformes","Acanthuridae","Herbivore","grazer/detritivores",21,NA,21,2.279999971,5,15,28.7,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:40-00:50","Á­Óã",1,"Meiji","Zanclus cornutus","Perciformes","Zanclidae","Omnivore","omnivore",23,21,23,2.49000001,5,182,27.7,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","ÈÕ±¾´ÌÎ²Óã",5,"Meiji","Acanthurus japonicus","Perciformes","Acanthuridae","Herbivore","grazer/detritivores",21,NA,21,2.279999971,5,15,28.7,"benthic",28,"20-30",0.000209582093305948
"5.5","1","GH010055.MP4","00:50-01:00","Ë«°ß¹âÈúÓã",12,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000502997023934275
"5.5","1","GH010055.MP4","00:50-01:00","¼§Äâ´½Óã",1,"Meiji","Pseudocheilinus evanidus","Perciformes","Labridae","Carnivore","invertivore",9,NA,9,3.5,11,20,27.7,"benthic",28,"< 10",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","×ÝÎÆ½õÓã",1,"Meiji","Thalassoma quinquevittatus","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",17,NA,17,3.6,1,5,28.3,NA,28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","èÎ³Ý´ÌÎ²Óã",3,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",0.000125749255983569
"5.5","1","GH010055.MP4","00:50-01:00","µ¥´ø¼â´½Óã",1,"Meiji","Oxycheilinus unifasciantus","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",46,NA,46,4.1,1,160,27.3,NA,28,"40-50",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","Ï¸°ßÇ°¿×÷ƒ",1,"Meiji","Cantherhines pardalis","Tetraodontiformes","Monacanthidae","Omnivore","omnivore",NA,NA,25,3.5,4,12,28.2,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","Á­Óã",1,"Meiji","Zanclus cornutus","Perciformes","Zanclidae","Omnivore","omnivore",23,21,23,2.49000001,5,182,27.7,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","¾µ°ßºûµûÓã",1,"Meiji","Chaetodon speculum","Perciformes","Chaetodontidae","Omnivore","omnivore",18,NA,18,3.630000114,5,17,28.5,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","µÍ÷¢õD",2,"Meiji","Kyphosus vaigiensis","Perciformes","Amaranthaceae","Omnivore","omnivore",NA,NA,70,2.109999895,4,21,27.8,"benthic",28,"50-100",8.38328373223792e-05
"5.5","1","GH010055.MP4","00:50-01:00","ÔÓÉ«¼â×ìÓã",1,"Meiji","Gomphosus varius","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",30,NA,36.59999847,3.579999924,2,30,27.8,"benthic",28,"30-40",4.19164186611896e-05
"5.5","1","GH010055.MP4","00:50-01:00","°Ë´øÄâ´½Óã",1,"Meiji","Pseudocheilinus octotaenia","Perciformes","Labridae","Carnivore","invertivore",14,NA,17.07999992,3.359999895,6,27,27.5,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:00-01:10","ºÚ°ßÅÌÈ¸öô",1,"Meiji","Dischistodus melanotus","Perciformes","Pomacentridae","Herbivore","grazer/detritivores",NA,NA,16,2,2,7,28.6,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:00-01:10","¾µ°ßºûµûÓã",1,"Meiji","Chaetodon speculum","Perciformes","Chaetodontidae","Omnivore","omnivore",18,NA,18,3.630000114,5,17,28.5,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:00-01:10","Ë«°ß¹âÈúÓã",4,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000167665674644758
"5.5","1","GH010055.MP4","01:00-01:10","°Ë´øÄâ´½Óã",1,"Meiji","Pseudocheilinus octotaenia","Perciformes","Labridae","Carnivore","invertivore",14,NA,17.07999992,3.359999895,6,27,27.5,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:00-01:10","èÎ³Ý´ÌÎ²Óã",1,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:00-01:10","¶ÛÍ·½õÓã",1,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:10-01:20","ÈÕ±¾´ÌÎ²Óã",2,"Meiji","Acanthurus japonicus","Perciformes","Acanthuridae","Herbivore","grazer/detritivores",21,NA,21,2.279999971,5,15,28.7,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:10-01:20","¶ÛÍ·½õÓã",1,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:10-01:20","Ë«°ß¹âÈúÓã",5,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000209582093305948
"5.5","1","GH010055.MP4","01:10-01:20","èÎ³Ý´ÌÎ²Óã",1,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:20-01:30","ºÚ±ß½ÇÁÛ÷ƒ",1,"Meiji","Melichthys vidua","Tetraodontiformes","Balistidae","Omnivore","omnivore",NA,NA,40,3.380000114,9,33,27.6,"benthic",28,"40-50",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:20-01:30","Ë«°ß¹âÈúÓã",2,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:20-01:30","ºÚ´øÏ¡¼¬÷",1,"Meiji","Meiacanthus grammistes","Perciformes","Soleidae","Carnivore","invertivore",NA,NA,11,3.440000057,3,11,28.7,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","¾µ°ßºûµûÓã",2,"Meiji","Chaetodon speculum","Perciformes","Chaetodontidae","Omnivore","omnivore",18,NA,18,3.630000114,5,17,28.5,"benthic",28,"10-20",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:30-01:40","ÁÑ´½Óã",4,"Meiji","Labroides dimidiatus","Perciformes","Labridae","Carnivore","ectoparasite feeder",14,NA,14,3.460000038,1,30,27.8,"pelagic",28,"10-20",0.000167665674644758
"5.5","1","GH010055.MP4","01:30-01:40","¼§Äâ´½Óã",1,"Meiji","Pseudocheilinus evanidus","Perciformes","Labridae","Carnivore","invertivore",9,NA,9,3.5,11,20,27.7,"benthic",28,"< 10",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","¶ÛÍ·ðÐ×ìÓã",2,"Meiji","Scarus rubroviolaceus","Perciformes","Scaridae","Herbivore","scraper/excavators",NA,NA,70,2,4,19,28.3,"benthic",28,"50-100",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:30-01:40","Ð¡±ÇÂÌðÐ×ìÓã",1,"Meiji","Chlorurus microrhicnos","Perciformes","Scaridae","Herbivore","scraper/excavators",NA,NA,70,NA,1,15,28.4,NA,28,"50-100",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","Ë«°ß¹âÈúÓã",10,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000419164186611896
"5.5","1","GH010055.MP4","01:30-01:40","ÈÕ±¾´ÌÎ²Óã",1,"Meiji","Acanthurus japonicus","Perciformes","Acanthuridae","Herbivore","grazer/detritivores",21,NA,21,2.279999971,5,15,28.7,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","Ë«´øÆÕÌáÓã",1,"Meiji","Bodianus bilunulatus","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",55,NA,55,3.440000057,20,79,27.4,"benthic",28,"50-100",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","Ë«É«ÁÑ´½Óã",1,"Meiji","Labroides bicolor","Perciformes","Labridae","Carnivore","ectoparasite feeder",15,NA,15,4.019999981,2,20,27.6,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","µ¥ÁÐ³Ýöô",1,"Meiji","Monotaxis grandoculis","Perciformes","Lethrinidae","Carnivore","invertivore",NA,NA,60,3.450000048,5,30,28,"benthic",28,"50-100",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","Ò¸°ßÆÕÌáÓã",1,"Meiji","Bodianus axillaris","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",20,NA,24.39999962,3.420000076,2,40,27.5,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:30-01:40","×ØÎÇðÐ×ìÓã",2,"Meiji","Scarus psittacus","Perciformes","Scaridae","Herbivore","grazer/detritivores",NA,NA,34,2,4,14,28.1,"benthic",28,"30-40",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:30-01:40","Â¡±³µÑöô",3,"Meiji","Lutjanus gibbus","Perciformes","Lutjanidae","Carnivore","generalist carnivore (fish and invertebrates)",56.8,45,50,4.119999886,17,73,28,"pelagic",28,"50-100",0.000125749255983569
"5.5","1","GH010055.MP4","01:30-01:40","ºÚ±ß½ÇÁÛ÷ƒ",1,"Meiji","Melichthys vidua","Tetraodontiformes","Balistidae","Omnivore","omnivore",NA,NA,40,3.380000114,9,33,27.6,"benthic",28,"40-50",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:40-01:50","ÈÕ±¾´ÌÎ²Óã",4,"Meiji","Acanthurus japonicus","Perciformes","Acanthuridae","Herbivore","grazer/detritivores",21,NA,21,2.279999971,5,15,28.7,"benthic",28,"20-30",0.000167665674644758
"5.5","1","GH010055.MP4","01:40-01:50","¼¬Î²Ç°¿×÷ƒ",3,"Meiji","Cantherhines dumerilii","Tetraodontiformes","Monacanthidae","Omnivore","omnivore",NA,NA,38,3.069999933,6,35,27.6,"benthic",28,"30-40",0.000125749255983569
"5.5","1","GH010055.MP4","01:40-01:50","»ÆÎ²´ÌÎ²Óã",3,"Meiji","Acanthurus thompsoni","Perciformes","Acanthuridae","Planktivore","planktivore",27,NA,27,3.640000105,5,70,27.6,"pelagic",28,"20-30",0.000125749255983569
"5.5","1","GH010055.MP4","01:40-01:50","ºÚ´øÁÛ÷¢Ã·öô",23,"Meiji","Pterocaesio tile","Perciformes","Lutjanidae","Planktivore","planktivore",30,21.2,30,3.329999924,7,31,28.1,"pelagic",28,"30-40",0.000964077629207361
"5.5","1","GH010055.MP4","01:40-01:50","ºÚåê÷“",1,"Meiji","Caranx melampygus","Perciformes","Platycephalidae","Carnivore","generalist carnivore (fish and invertebrates)",NA,NA,129.8699951,4.489999771,20,91,27.9,"pelagic",28,"> 100",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:40-01:50","Ë«°ß¹âÈúÓã",6,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000251498511967138
"5.5","1","GH010055.MP4","01:40-01:50","ºÚ±ß½ÇÁÛ÷ƒ",3,"Meiji","Melichthys vidua","Tetraodontiformes","Balistidae","Omnivore","omnivore",NA,NA,40,3.380000114,9,33,27.6,"benthic",28,"40-50",0.000125749255983569
"5.5","1","GH010055.MP4","01:40-01:50","Á­Óã",2,"Meiji","Zanclus cornutus","Perciformes","Zanclidae","Omnivore","omnivore",23,21,23,2.49000001,5,182,27.7,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:40-01:50","µ¥ÁÐ³Ýöô",1,"Meiji","Monotaxis grandoculis","Perciformes","Lethrinidae","Carnivore","invertivore",NA,NA,60,3.450000048,5,30,28,"benthic",28,"50-100",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:40-01:50","ÁÑ´½Óã",1,"Meiji","Labroides dimidiatus","Perciformes","Labridae","Carnivore","ectoparasite feeder",14,NA,14,3.460000038,1,30,27.8,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:40-01:50","¼ÕÎÇ±ÇÓã",2,"Meiji","Naso lituratus","Perciformes","Acanthuridae","Herbivore","browsers",46,NA,56.11999893,2.319999933,5,30,27.7,"benthic",28,"50-100",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:40-01:50","Â¡±³µÑöô",3,"Meiji","Lutjanus gibbus","Perciformes","Lutjanidae","Carnivore","generalist carnivore (fish and invertebrates)",56.8,45,50,4.119999886,17,73,28,"pelagic",28,"50-100",0.000125749255983569
"5.5","1","GH010055.MP4","01:40-01:50","Ò¸°ßÆÕÌáÓã",2,"Meiji","Bodianus axillaris","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",20,NA,24.39999962,3.420000076,2,40,27.5,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:40-01:50","¾µ°ßºûµûÓã",2,"Meiji","Chaetodon speculum","Perciformes","Chaetodontidae","Omnivore","omnivore",18,NA,18,3.630000114,5,17,28.5,"benthic",28,"10-20",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:40-01:50","èÎ³Ý´ÌÎ²Óã",2,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:50-02:00","¶ÛÍ·½õÓã",5,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",0.000209582093305948
"5.5","1","GH010055.MP4","01:50-02:00","ÁÑ´½Óã",1,"Meiji","Labroides dimidiatus","Perciformes","Labridae","Carnivore","ectoparasite feeder",14,NA,14,3.460000038,1,30,27.8,"pelagic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:50-02:00","½ðÍ·½ð³áÈ¸öô",2,"Meiji","Chrysiptera chrysocephala","Perciformes","Pomacentridae","Omnivore","omnivore",NA,NA,6.010000229,2.74000001,1,6,NA,"benthic",28,"< 10",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:50-02:00","ºá´øºñ´½Óã",1,"Meiji","Hemigymnus fasciatus","Perciformes","Labridae","Carnivore","invertivore",30,NA,30,3.5,3,14,28.3,"benthic",28,"30-40",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:50-02:00","Ïî°ßºûµûÓã",2,"Meiji","Chaetodon adiergastos","Perciformes","Chaetodontidae","Omnivore","omnivore",20,NA,20,3.5,4,16,28.8,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","01:50-02:00","Ë«°ß¹âÈúÓã",8,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000335331349289517
"5.5","1","GH010055.MP4","01:50-02:00","Î²ÎÆ¾Å¼¬öÔ",1,"Meiji","Cephalopholis urodelus","Perciformes","Serranidae","Carnivore","generalist carnivore (fish and invertebrates)",NA,NA,28,4,3,15,28.4,NA,28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:50-02:00","ºÚ´øÏ¡¼¬÷",1,"Meiji","Meiacanthus grammistes","Perciformes","Soleidae","Carnivore","invertivore",NA,NA,11,3.440000057,3,11,28.7,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","01:50-02:00","Á­Óã",1,"Meiji","Zanclus cornutus","Perciformes","Zanclidae","Omnivore","omnivore",23,21,23,2.49000001,5,182,27.7,"benthic",28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","02:00-02:10","¶ÛÍ·½õÓã",6,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",0.000251498511967138
"5.5","1","GH010055.MP4","02:00-02:10","ÁÑ´½Óã",2,"Meiji","Labroides dimidiatus","Perciformes","Labridae","Carnivore","ectoparasite feeder",14,NA,14,3.460000038,1,30,27.8,"pelagic",28,"10-20",8.38328373223792e-05
"5.5","1","GH010055.MP4","02:00-02:10","Ë«°ß¹âÈúÓã",7,"Meiji","Chromis margaritifer","Perciformes","Pomacentridae","Planktivore","planktivore",NA,NA,9,2.950000048,4,12,28.5,"pelagic",28,"< 10",0.000293414930628327
"5.5","1","GH010055.MP4","02:00-02:10","»ªÀöºûµûÓã",2,"Meiji","Chaetodon ornatissimus","Perciformes","Chaetodontidae","Corallivore","corallivore",20,NA,20,3.339999914,4,19,28.4,"benthic",28,"20-30",8.38328373223792e-05
"5.5","1","GH010055.MP4","02:10-02:20","èÎ³Ý´ÌÎ²Óã",13,"Meiji","Ctenochaetus striatus","Perciformes","Acanthuridae","Omnivore","omnivore",26,18,26,2,6,30,27.8,"benthic",28,"20-30",0.000544913442595465
"5.5","1","GH010055.MP4","02:10-02:20","×ÝÎÆ½õÓã",1,"Meiji","Thalassoma quinquevittatus","Perciformes","Labridae","Carnivore","generalist carnivore (fish and invertebrates)",17,NA,17,3.6,1,5,28.3,NA,28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","02:10-02:20","¶ÛÍ·½õÓã",4,"Meiji","Thalassoma amblycephalum","Perciformes","Labridae","Planktivore","planktivore",16,NA,19.52000046,3.099999905,1,15,28.4,"pelagic",28,"10-20",0.000167665674644758
"5.5","1","GH010055.MP4","02:10-02:20","Î²ÎÆ¾Å¼¬öÔ",1,"Meiji","Cephalopholis urodelus","Perciformes","Serranidae","Carnivore","generalist carnivore (fish and invertebrates)",NA,NA,28,4,3,15,28.4,NA,28,"20-30",4.19164186611896e-05
"5.5","1","GH010055.MP4","02:10-02:20","ºÚ´øÏ¡¼¬÷",1,"Meiji","Meiacanthus grammistes","Perciformes","Soleidae","Carnivore","invertivore",NA,NA,11,3.440000057,3,11,28.7,"benthic",28,"10-20",4.19164186611896e-05
"5.5","1","GH010055.MP4","02:10-02:20","ÖéºûµûÓã",1,"Meiji","Chaetodon kleirnii","Perciformes","Chaetodontidae","Omnivore","omnivore",15,NA,15,2.9,4,61,27.8,NA,28,"10-20",4.19164186611896e-05
